"slug","billing_period","type","regular_price","promotion_price","product_discount_id","contract_period","translation_key_id","introduction_price","orderable","action_period","action_period_price","is_default"
acronis-company-1000,1,registration,12999,,,12,,,true,,,false
acronis-company-1000,12,registration,155988,83988,,12,,,true,6,999,false
acronis-company-2000,1,registration,25999,,,12,,,true,,,false
acronis-company-2000,12,registration,311988,161988,,12,,,true,6,999,false
acronis-company-250,1,registration,6499,0,536,1,,,true,,,false
acronis-company-250,1,registration,6499,,,12,,,true,,,false
acronis-company-250,12,registration,77988,44988,,12,,,true,6,999,false
acronis-company-500,1,registration,9999,0,536,1,,,true,,,false
acronis-company-500,1,registration,9999,,,12,,,true,,,false
acronis-company-500,12,registration,119988,65988,,12,,,true,6,999,false
acronis-personal-100,1,registration,1899,0,536,1,,,true,,,false
acronis-personal-100,1,registration,1899,,,12,,,true,,,false
acronis-personal-100,12,registration,22788,14388,,12,,,true,6,499,false
acronis-personal-1000,1,registration,9999,,,12,,,true,,,false
acronis-personal-1000,12,registration,119988,62988,,12,,,true,6,499,false
acronis-personal-250,1,registration,2999,,,12,,,true,,,false
acronis-personal-250,12,registration,35988,20988,,12,,,true,6,499,false
acronis-personal-50,1,registration,999,0,536,1,,,true,,,false
acronis-personal-50,1,registration,999,,,12,,,true,,,false
acronis-personal-50,12,registration,11988,8988,,12,,,true,6,499,false
acronis-personal-50,12,registration,11988,0,536,12,,,true,,,false
acronis-personal-500,1,registration,5799,,,12,,,true,,,false
acronis-personal-500,12,registration,69588,37788,,12,,,true,6,499,false
administration-fees,1,registration,200,,,1,,,false,,,true
Almalinux-10,1,registration,0,,,1,,,true,,,false
almalinux_10_password_enabled,1,registration,0,,,1,,,true,,,false
Almalinux-10-ssh,1,registration,0,,,1,,,true,,,false
almalinux_10_ssh_enabled,1,registration,0,,,1,,,true,,,false
almalinux_9_password_enabled,1,registration,0,,,1,,,true,,,false
almalinux_9_ssh_enabled,1,registration,0,,,1,,,true,,,false
API-Conscribo-All-in-Pakket-koppelen-en-inrichten-op-de-WordPress,1,registration,72000,,,1,,,true,,,false
avg_addons,12,registration,3588,,,12,,,false,,,false
azure-active-directory-premium-p2,1,registration,1000,,,1,,1000,true,,,false
azure-active-directory-premium-p2,12,registration,12000,,,12,,12000,true,,,false
azure-active-directory-premium-p2-parent,1,registration,0,,,1,,,true,,,false
azure-active-directory-premium-p2-parent,12,registration,0,,,12,,,true,,,false
brandalert,12,registration,358800,,,12,,,true,,,true
Business-class-hostingpakket,1,prolongation,3499,,,1,,,false,,,false
Business-class-hostingpakket,3,prolongation,10497,,,3,,,false,,,false
